Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

tutorialTipQuest01,Journal Tip,,,,"Welcome back Prepper!\n\nWe thought we'd lost you there for a moment, but you survived. You know the drill. Complete 6 simple survival steps for the location of your first Trader, and pick up a 7 Skill Point reward.\n\nYour kindred souls were prepared for the 'event', and even survived the aftermath, but this afterwards can be testy.",,"Willkommen zurück, Prepper! Wir dachten schon, wir hätten dich verloren, aber du hast überlebt. Du weißt, wie es geht. Erledige 6 einfache Überlebensschritte für den Standort deines ersten Händlers und hole dir eine Belohnung von 7 Fertigkeitspunkten.\n\nDeine Seelenverwandten waren auf das 'Ereignis' vorbereitet und haben sogar die Nachwirkungen überlebt, aber danach kann es brenzlig werden.",,,,,,,,,,"末世战备家，欢迎回来！\n\n我们还以为再也见不到你了，但你还是成功活了下来。接下来的事你都懂的。完成六个简单的生存操作以获取第一个商人的位置，还能拿到7点技能点的奖励。\n\n你们这样的末世战备家早已为这场“变故”做足了准备，甚至还撑过了变故的余波，但未来仍然充满考验。",
quest_BasicSurvival1,Quest,Quest Info,,,Basic Survival 1/6,,Das 1x1 des Überlebens 1/6,Supervivencia básica 1/6,Les bases de la survie 1/6,Basi della sopravvivenza 1/6,生き残るための基礎知識 1/6,기본 생존 1/6,Podstawy przetrwania 1/6,Sobrevivência Básica 1/6,Основы выживания 1/6,Temel Hayatta Kalma 1/6,基础生存 1/6,基本生存 1/6
quest_BasicSurvival2,Quest,Quest Info,,,Basic Survival 2/6,,Das 1x1 des Überlebens 2/6,Supervivencia básica 2/6,Les bases de la survie 2/6,Basi della sopravvivenza 2/6,生き残るための基礎知識 2/6,기본 생존 2/6,Podstawy przetrwania 2/6,Sobrevivência Básica 2/6,Основы выживания 2/6,Temel Hayatta Kalma 2/6,基础生存 2/6,基本生存 2/6
quest_BasicSurvival3,Quest,Quest Info,,,Basic Survival 3/6,,Das 1x1 des Überlebens 3/6,Supervivencia básica 3/6,Les bases de la survie 3/6,Basi della sopravvivenza 3/6,生き残るための基礎知識 3/6,기본 생존 3/6,Podstawy przetrwania 3/6,Sobrevivência Básica 3/6,Основы выживания 3/6,Temel Hayatta Kalma 3/6,基础生存 3/6,基本生存 3/6
quest_BasicSurvival4,Quest,Quest Info,,,Basic Survival 4/6,,Das 1x1 des Überlebens 4/6,Supervivencia básica 4/6,Les bases de la survie 4/6,Basi della sopravvivenza 4/6,生き残るための基礎知識 4/6,기본 생존 4/6,Podstawy przetrwania 4/6,Sobrevivência Básica 4/6,Основы выживания 4/6,Temel Hayatta Kalma 4/6,基础生存 4/6,基本生存 4/6
quest_BasicSurvival5,Quest,Quest Info,,,Basic Survival 5/6,,Das 1x1 des Überlebens 5/6,Supervivencia básica 5/6,Les bases de la survie 5/6,Basi della sopravvivenza 5/6,生き残るための基礎知識 5/6,기본 생존 5/6,Podstawy przetrwania 5/6,Sobrevivência Básica 5/6,Основы выживания 5/6,Temel Hayatta Kalma 5/6,基础生存 5/6,基本生存 5/6
quest_BasicSurvival6,Quest,Quest Info,,,Basic Survival 6/6,,Das 1x1 des Überlebens 6/6,Supervivencia básica 6/6,Les bases de la survie 6/6,Basi della sopravvivenza 6/6,生き残るための基礎知識 6/6,기본 생존 6/6,Podstawy przetrwania 6/6,Sobrevivência Básica 6/6,Основы выживания 6/6,Temel Hayatta Kalma 6/6,基础生存 6/6,基本生存 6/6
quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,"Nicely done Prepper. We expected no less.\n\nWe have marked your map with the location of a Trader where you can begin again. A Prepper Party provides safety in numbers, but there are also plenty of ways to go it alone.\n\nWelcome to the Preppocalypse.",,"Gut gemacht, Prepper. Wir haben nichts anderes erwartet.\n\nWir haben auf deiner Karte den Standort eines Händlers markiert, bei dem du wieder anfangen kannst. Eine Prepper-Party bietet Sicherheit in der Menge, aber es gibt auch viele Möglichkeiten, es alleine zu schaffen.\n\nWillkommen in der Preppocalypse.",,,,,,,,,,"末世战备家，干得漂亮。\n\n你和我们预想的一样出色。我们已经在你的地图上标出了商人的位置，你可以在那里东山再起。末世战备家们可以组团行动，靠人数优势保证安全，但独狼也有各种各样的生存之道。\n\n欢迎来到战备末世。",
PreppocalypseStarterKit,items,item,,,Preppocalypse Starter Kit,,Preppocalypse Starter Kit,,,,,,,,,,战备末世启动包,
PreppocalypseStarterKitDesc,items,item,,,"This will ease you back into the Preppocalypse, and set you back on your path.",,"Dies wird Sie zurück in die Preppocalypse führen und Sie auf Ihren Weg zurückbringen.",,,,,,,,,,"减轻你的负担，助你步入战备末世",

perkDeadEyeRank1LongDesc,progression,perk Per,,,"Pot Shot. You can hit the broad side of a barn and do 10% more damage with rifles. Aim 10% faster and reload 12% faster.",,"Blindes Huhn. Du kannst die lange Seite einer Scheune treffen und verursachst 10 % mehr Schaden mit Gewehren. Zielen Sie 10 % schneller und laden Sie 12 % schneller nach.",,,,,,,,,,"拔枪便射。你能打中谷仓一样大小的物体，步枪造成的伤害增加10%。瞄准速度加快10%。装弹速度加快12%。",
perkDeadEyeRank2LongDesc,progression,perk Per,,,"You are a rifleman and can hit a large rock at 30 yards. Rifles deal 20% more damage, aim 20% faster, reload 19% faster.",,"Du bist ein Hobbyschütze und kannst einen großen Stein auf 30 m Entfernung treffen. Gewehre verursachen 20 % mehr Schaden, zielen 20 % schneller und laden 19 % schneller nach.",,,,,,,,,,"你是一名步枪兵，能在30码外打中一块大石头。步枪造成的伤害增加20%，瞄准速度加快20%，装弹速度加快19%。",
perkDeadEyeRank3LongDesc,progression,perk Per,,,"You are now a marksman and can hold your own. Rifles deal 30% more damage, aim 32% faster, reload 26% faster, and use 10% less stamina while aiming down the sights.\nKill Streak: Successive kills increase damage bonus by 10%, 20% to a maximum of 30%.",,"Du bist ein Schütze und kannst selbst auf dich aufpassen. Gewehre verursachen 30 % mehr Schaden, zielen 32 % schneller, laden 26 % schneller nach, und verbrauchen 10 % weniger Ausdauer beim Zielen nach unten.\nKill-Serie: Aufeinanderfolgende Kills erhöhen den Schadensbonus um 10 %, 20 % bis maximal 30 %.",,,,,,,,,,"你现在是一名神射手，能够独当一面了。步枪造成的伤害增加30%，瞄准速度加快32%，装弹速度加快26%，开镜瞄准时消耗的体力减少10%。\n连续击杀：连续击杀能使伤害额外增加10%、20%，最高至30%。",
perkDeadEyeRank4LongDesc,progression,perk Per,,,"You are now a sharpshooter. Rifles deal 40% more damage, aim 45% faster, reload 33% faster, and use 20% less stamina while aiming down the sights.\nKill Streak: Successive kills increase damage bonus by 20%, 30% to a maximum of 40%.",,"Du bist gefährlich wie ein Heckenschütze. Gewehre verursachen 40 % mehr Schaden, zielen 45 % schneller, laden 33 % schneller nach, und verbrauchen 20 % weniger Ausdauer beim Zielen nach unten.\nKill-Serie: Aufeinanderfolgende Kills erhöhen den Schadensbonus um 20 %, 30 % bis maximal 40 %.",,,,,,,,,,"你现在是一名神枪手了。步枪造成的伤害增加40%，瞄准速度加快45%，装弹速度加快33%，开镜瞄准时消耗的体力减少20%。\n连续击杀：连续击杀能使伤害额外增加20%、30%，最高至40%。",
perkDeadEyeRank5LongDesc,progression,perk Per,,,"Dead Eye: Through all the hard training and countless shooting, you are now a dead eye sniper. Rifles deal 50% more damage, aim 60% faster, reload 40% faster, and use 30% less stamina while aiming down the sights.\nKill Streak: Successive kills increase damage bonus by 30%, 40% up to a maximum of 50%.",,"Präzisionsschütze: Nach all dem harten Training und zahllosen Schüssen bist du ein begabter Präzisionsschütze. Gewehre verursachen 50 % mehr Schaden, zielen 60 % schneller, laden 40 % schneller nach, und verbrauchen 30 % weniger Ausdauer beim Zielen nach unten.\nKill-Serie: Aufeinanderfolgende Kills erhöhen den Schadensbonus um 30 %, 40 % bis maximal 50 %.",,,,,,,,,,"死神之眼：经过刻苦的训练和无数次射击，你现在成为了一名死神一样的狙击手。步枪造成的伤害增加50%，瞄准速度加快60%，装弹速度加快40%，开镜瞄准时消耗的体力减少30%。\n连续击杀：连续击杀能使伤害额外增加30%、40%，最高至50%。",

perkPackMuleRank1LongDesc,progression,perk Str,,,"Who has time to organize their stuff perfectly? Carry four more items without being encumbered.",,,,,,,,,,,,"谁有空完美收纳自己所有的东西？多携带四样东西而不受负重惩罚。",
perkPackMuleRank2LongDesc,progression,perk Str,,,"You know it's in there somewhere. Carry an additional four more items without being encumbered.",,,,,,,,,,,,"你知道东西肯定在包里的某个角落。再多携带四样东西而不受负重惩罚。",
perkRuleOneCardioNameRank4Desc,progression,perk For,,,Ultra Triathlete,,Ultra-Triathlet,Ultra Triatleta,Ultra Triathlète,Ultratriatleta,ウルトラトライアスリート,울트라 트라이애슬론 선수,Ultratriatlonista,Ultra Triatleta,ультра триатлет,Ultra Triatlon Koşucusu,超级铁人三项,超級鐵人三項
perkRuleOneCardioNameRank4LongDesc,progression,perk For,,,"You can run from coast to coast and barely break into a sweat. Increase stamina regen by 40% when sprinting.",,"Erhöht die Ausdauerwiederherstellung beim Sprinten um 40 %.","Aumenta la regeneración de la resistencia en un 40 % al correr.","Vous augmentez votre régénération d'endurance de 40 % lorsque vous sprintez.","Aumenta la rigenerazione del vigore del 40% quando scatti.","ダッシュ中のスタミナ回復が40%増加。","전력 질주 시 스태미너 재생성이 40% 증가합니다.","Zwiększ regenerację wytrzymałości o 40% podczas sprintu.","Aumenta em 40% a regeneração de vigor ao correr.","Повышайте восстановление выносливости при беге на 40%.","Depar atarken dayanıklılık yenilemesini %40 artır.","你可以跑过整块大陆，一滴汗都不流。冲刺时体力恢复速度加快40%。","衝刺時增加 40% 的耐力恢復值。"

